sujet,langue,extrait,label
Photosynthèse,fr,"La photosynthèse est le processus bioénergétique qui permet à des organismes de biosynthétiser de la matière organique en utilisant l'énergie lumineuse, l'eau et le dioxyde de carbone.",UTILE
Photosynthèse,en,,INUTILE
Algorithme de tri rapide,fr,,INUTILE
Algorithme de tri rapide,en,,INUTILE
Mercure,fr,"Le nom propre Mercure et, par antonomase, le nom commun mercure, prennent différentes significations selon le contexte.",INUTILE
Mercure,en,"Mercure may refer to:MERCURE, an atmospheric dispersion modelling CFD code developed by Électricité de France
Mercure Hotels, a chain of hotels run by Accor
French ship Mercure (1783)
Dassault Mercure, a French airliner built in the 1970s
HMS Mercure (1798), a French privateer captured and put into service by the British
Mercure (ballet), of 1924 with music by Erik Satie
Mercure (novel), by Belgian writer Amélie Nothomb first published in 1998
R v Mercure, a decision of the Supreme Court of Canada
Mercure de France, a French gazette and literary magazine first published in the 17th century",INUTILE
Java,fr,,INUTILE
Java,en,"Java is one of the Greater Sunda Islands in the South East Asian country of Indonesia. It is bordered by the Indian Ocean to the south and the Java Sea to the north. With a population of 158.08 million people in mid 2025, projected to have risen to 159.2 million by mid 2026, Java is the world's most populous island, home to approximately 56% of the Indonesian population while constituting only 7% of its land area. Indonesia's capital city, Jakarta, is on Java's northwestern coast.",UTILE
Comment fonctionne le machine learning,fr,,INUTILE
Comment fonctionne le machine learning,en,,INUTILE
Histoire de la Grèce antique,fr,"L’histoire de la Grèce antique se décompose en plusieurs périodes, allant du développement des premières communautés agricoles durant le Néolithique, à partir du VIIe millénaire av. J.-C., jusqu'à l'Antiquité tardive, qui s'achève au VIIIe siècle. Il s'agit de la première civilisation à s'être développée sur le continent européen. Tirant parti de sa proximité avec les plus anciens foyers néolithiques et urbains du Proche-Orient et d'Égypte, elle connaît plusieurs phases de développement durant l'âge du bronze puis devient durant le Ier millénaire av. J.-C. une civilisation très dynamique et influente, marquant de son empreinte les cultures voisines, nombre de ses aspects étant érigés en modèle et servant de référence pour les civilisations postérieures, en premier lieu en Europe.",UTILE
Histoire de la Grèce antique,en,,INUTILE
Théorie de la relativité,fr,"L'expression théorie de la relativité renvoie le plus souvent à deux théories complémentaires élaborées par Albert Einstein avec l'aide de son épouse Mileva Marić : la relativité restreinte (1905) et la relativité générale (1915). Ce terme peut aussi renvoyer à une idée plus ancienne, la relativité galiléenne, qui s'applique à la mécanique newtonienne.",UTILE
Théorie de la relativité,en,,INUTILE
